frac,ntree,oob_train,oob_cv
0.4,200,1.23566878980892,1.24023105674482
0.4,300,1.4140127388535,1.08732585796806
0.4,400,1.12101910828025,1.24023105674482
0.4,500,1.05732484076433,1.22324159021406
0.5,200,0.907052588666935,0.917431192660545
0.5,300,1.02935181410517,1.07033639143731
0.5,400,0.794944965348554,0.73394495412844
0.5,500,0.978393803505906,0.897043832823652
0.6,200,0.560414366986495,0.624601657106438
0.6,300,0.61985225439416,0.675589547482469
0.6,400,0.61985225439416,0.611854684512425
0.6,500,0.662307888256775,0.713830465264498
0.7,200,0.531411516342728,0.441801189464741
0.7,300,0.56052995559438,0.288870008496178
0.7,400,0.524131906529812,0.492778249787595
0.7,500,0.451335808400666,0.560747663551397
